# timestamp: 2026-08-04T16:04:26
# quantity: current
# channel: 2
# psu_idn: PreReg,PSU-2CH-36V2A,SN00001,0.2.0
# dmm_idn: Siglent Technologies,SDM3065X,SDM36HCQ7R1239,3.02.01.12R1
# min_A: 0.0
# max_A: 2.0
# step_A: 0.025
# companion: 2.0
# settle_s: 0.6
# dmm_range: 2
# nplc: 10.0
# dmm_samples: 3
# psu_samples: 3
# simulated: False
index,t_s,v_set,v_dmm,v_dmm_sd,v_psu,aux_psu,temp_c
22,49.64725680020638,0.55,0.549247872,1.4942115747080105e-05,0.5501,0.042,41.3
23,51.783523900201544,0.575,0.5745247833333333,8.569610045637987e-06,0.5754,0.043,41.3
24,53.96417310019024,0.6,0.599274268,9.068917300310802e-06,0.6002,0.045,41.5
25,56.088537300005555,0.625,0.6246926843333332,7.470826081099737e-06,0.6256,0.047,41.6
26,58.216692300047725,0.65,0.6494837296666667,1.1239308000666111e-05,0.6505,0.048,41.7
27,60.36356280022301,0.675,0.6743945103333333,5.141881497420545e-06,0.6754000000000001,0.05,41.7
28,62.488984200172126,0.7,0.6996961599999999,2.968999999963806e-06,0.7008,0.053,41.8
29,64.63228610018268,0.725,0.7244832473333332,3.4283058984703035e-06,0.7256,0.054,42.1
30,66.76501950016245,0.75,0.749393038,9.542859057934557e-06,0.7506,0.056,42.1
31,68.91505570011213,0.775,0.7746254203333334,9.069353744003203e-06,0.7757,0.058,42.2
32,71.04014730011113,0.8,0.799480786,2.9690000000193173e-06,0.8007,0.06,42.3
33,73.1844096002169,0.825,0.8247290006666668,2.9685000140142156e-06,0.826,0.062,42.5
34,75.31616450008005,0.85,0.849421092,3.4277285482174423e-06,0.8507000000000001,0.064,42.7
35,77.46481060003862,0.875,0.8743229663333333,5.141881497420545e-06,0.8756,0.066,43.0
36,79.5912624001503,0.9,0.899535557,8.906000000030723e-06,0.9009,0.067,43.1
37,81.76561730005778,0.925,0.9243810276666666,1.4029253769635921e-05,0.9258000000000001,0.069,43.4
38,83.89638750022277,0.95,0.949168115,0.0,0.9506,0.072,43.5
39,86.02964710001834,0.975,0.9743975283333334,2.247826381936426e-05,0.9758999999999999,0.074,43.8
40,88.16677980008535,1.0,0.9992212289999999,3.427728548153344e-06,1.0008,0.076,43.9
41,90.31662739999592,1.025,1.02442689,3.429460598911927e-06,1.026,0.077,44.0
42,92.44598040007986,1.05,1.0492852266666666,7.854102961700463e-06,1.0509,0.079,44.3
43,94.57438450003974,1.075,1.0740614300000002,5.144190898496087e-06,1.0757,0.081,44.5
44,96.72027859999798,1.1,1.0993749533333335,1.5426799192831455e-05,1.1011,0.082,44.7
45,98.8652960001491,1.125,1.1241402733333334,1.908872529356885e-05,1.1259,0.085,44.9
46,100.990778000094,1.15,1.1488274166666665,1.5235335025348217e-05,1.1507,0.087,45.1
47,103.12672960013151,1.175,1.17416568,7.4743360909763605e-06,1.176,0.089,45.3
48,105.2687404002063,1.2,1.1989389133333332,1.1997338593663133e-05,1.2009,0.091,45.5
49,107.41504500014707,1.225,1.2242524333333333,1.1997338593791331e-05,1.2262,0.092,45.6
50,109.54348660004325,1.25,1.24900093,7.4743360909763605e-06,1.251,0.094,45.7
51,111.71508730016649,1.275,1.2737157833333332,1.2359491629222192e-05,1.2757,0.096,46.0
52,113.8481722001452,1.3,1.2991045133333332,1.1875000350871712e-05,1.3012,0.098,46.3
