# timestamp: 2026-08-04T22:46:30
# quantity: current
# channel: 1
# psu_idn: PreReg,PSU-2CH-36V2A,SN00001,0.2.0
# dmm_idn: Siglent Technologies,SDM3065X,SDM36HCQ7R1239,3.02.01.12R1
# min_A: 0.0
# max_A: 2.0
# step_A: 0.025
# companion: 2.0
# settle_s: 0.6
# dmm_range: 2
# nplc: 10.0
# dmm_samples: 3
# psu_samples: 3
# simulated: False
index,t_s,v_set,v_dmm,v_dmm_sd,v_psu,aux_psu,temp_c
43,94.5925291001331,1.075,1.0751380533333335,1.7897609710133562e-05,1.075,0.08,45.2
44,96.72468690015376,1.1,1.0997777,6.182548018404642e-06,1.0997,0.082,45.3
45,98.87041840003803,1.125,1.1251129966666664,1.294019448592461e-05,1.125,0.084,45.3
46,101.00103719998151,1.15,1.1498318033333332,6.853147695295243e-06,1.1497,0.086,45.6
47,103.14298240002245,1.175,1.1750691333333332,7.852212002645535e-06,1.1749,0.088,45.6
48,105.30652930005454,1.2,1.1999304366666668,6.17694368872125e-06,1.1999,0.09,45.7
49,107.4135063001886,1.225,1.2246413299999999,1.976547242032877e-05,1.2246,0.092,45.9
50,109.5877639001701,1.25,1.2499696933333333,1.042507713791467e-05,1.2499,0.094,46.2
51,111.71269510011189,1.275,1.2746617866666667,2.0210740543844553e-05,1.2746,0.094,46.3
52,113.84941040002741,1.3,1.2998743766666665,1.1240717652091456e-05,1.2999,0.097,46.4
53,115.99237390002236,1.325,1.3247881266666666,1.1997751178164016e-05,1.3247,0.099,46.6
54,118.12051740009338,1.35,1.3494831866666666,1.2359491629222192e-05,1.3494,0.101,46.8
55,120.25571350008249,1.375,1.3748580633333336,1.0282608294335368e-05,1.3747999999999998,0.103,46.8
56,122.39830360002816,1.4,1.3996026033333333,1.3712068893247295e-05,1.3995,0.105,47.1
57,124.54185340018012,1.425,1.4247845166666668,7.852212002645535e-06,1.4248,0.107,47.2
58,126.6714075000491,1.45,1.4496814433333334,1.4644918345027096e-05,1.4497,0.109,47.5
59,128.81209750007838,1.475,1.47437155,1.714730299584161e-06,1.4744,0.11,47.7
60,130.9490741000045,1.5,1.4998295533333332,1.3712068893247296e-05,1.4997999999999998,0.111,47.8
61,133.0922515001148,1.525,1.52458794,1.78923559096103e-05,1.5246000000000002,0.114,48.1
62,135.23682840005495,1.55,1.5498816766666668,9.068044625637822e-06,1.5499,0.115,48.2
63,137.3862972999923,1.575,1.5748072966666669,7.852212002645535e-06,1.5749000000000002,0.117,48.4
64,139.53648270014673,1.6,1.6000090066666666,1.5235335025348217e-05,1.6000000000000003,0.12,48.6
65,141.65514240018092,1.625,1.6249504633333334,7.852212002645535e-06,1.625,0.121,48.9
66,143.7914850001689,1.65,1.6496781766666668,4.532387156089031e-06,1.6497,0.123,49.1
67,145.93754640012048,1.675,1.6749481600000002,1.7810000000006987e-05,1.675,0.125,49.2
68,148.07467840006575,1.7,1.69981738,2.267392996363348e-05,1.6999000000000002,0.127,49.5
69,150.20185150019825,1.725,1.72497159,1.7147302994559635e-06,1.7252,0.128,49.8
70,152.3425110001117,1.75,1.7498328899999998,9.54721425338299e-06,1.75,0.131,49.9
71,154.48824580013752,1.775,1.7744527433333335,1.5235335025348217e-05,1.7746000000000002,0.132,50.1
72,156.6214022000786,1.8,1.7996465366666667,2.6933856636896778e-05,1.7997000000000003,0.134,50.4
73,158.76247299998067,1.825,1.82448112,8.910000000028617e-06,1.8247,0.136,50.7
74,160.9190241000615,1.85,1.8496472033333333,2.1479749377829313e-05,1.8498,0.138,50.8
75,163.05497759999707,1.875,1.8745233499999998,1.483999999996044e-05,1.8747999999999998,0.14,51.0
76,165.1918715001084,1.9,1.899687453333333,1.6345985235902926e-05,1.8999999999999997,0.142,51.3
77,167.3412774000317,1.925,1.9244290233333334,3.1276179967156496e-05,1.9247000000000003,0.143,51.6
78,169.46662080008537,1.95,1.94921215,1.6878462607653488e-05,1.9496,0.145,51.7
79,171.61937410011888,1.975,1.9743119366666668,6.853147695295243e-06,1.9746,0.147,52.0
80,173.74159600003622,2.0,1.9888176566666667,1.042555194384582e-05,1.9892,0.148,52.2
